,,,,,,,,,,,,,
,,Jan2026,Feb2026,Mar2026,Apr2026,May2026,Jun2026,Jul2026,Aug2026,Sep2026,Oct2026,Nov2026,Dec2026
city,agg_account_name,Jan2026,Feb2026,Mar2026,Apr2026,May2026,Jun2026,Jul2026,Aug2026,Sep2026,Oct2026,Nov2026,Dec2026
Madrid,5230:Demand: Car Branding,13116,11918,10002,1492,1338,1288,1085,1020,1222,1298,1388,1380
Madrid,6420:Infrastructure & services,9760,9488,10736,10424,11150,10544,9291,8804,10665,11910,11796,12881
Madrid,6421:Communication Services,4239,4128,4658,4541,4862,4611,4057,3860,4638,5194,5135,5571
Madrid,6500:Travel and Transportation,4487,4016,4006,3830,3831,3536,2898,2592,3293,3484,3582,3629
Madrid,Booking Fee,173719,135701,162891,164742,172957,161008,146646,134066,171865,191217,188206,213457
Madrid,COS IT Infrastructure,13999,13616,15394,14965,16012,15155,13348,12663,15303,17103,16932,18452
Madrid,COS Operational Costs,33724,28332,33326,34103,38604,38374,30183,25120,35546,39315,38970,44405
Madrid,COS Supply Costs,96544,80915,138566,140913,153772,153151,172962,158515,188464,242521,241479,257267
Madrid,Commission for Net Rate,2810597,2348264,2765966,2833131,3196645,3170152,2506397,2095574,2955619,3268193,3236649,3693800
Madrid,Customer Support,30356,29018,26255,24534,24625,22032,18803,14856,19584,21123,22277,22945
Madrid,Customer Support G&A,636,702,698,734,825,763,549,487,707,771,856,731
Madrid,Demand Incentives,683589,578663,700747,597213,716753,701895,306435,151150,589252,655676,593142,771731
Madrid,Dynamic OPEX,251133,210235,290042,294147,325752,323148,307715,273125,347018,416771,413884,449426
Madrid,EBITDA (with overhead),175223,79720,175933,309600,332701,501191,596629,333830,271789,718547,595471,612100
Madrid,EBITDA (without overhead),175859,80421,176631,310334,333526,501954,597178,334317,272496,719317,596327,612832
Madrid,Fleet upfront investments,0,0,100000,0,0,0,100000,0,0,100000,0,0
Madrid,GA,0,0,0,0,0,0,0,0,0,0,0,0
Madrid,GMV,10723376,8986850,10577307,10838298,12266482,12197585,9584693,7980100,11306884,12497869,12381977,14136240
